v1 v3
1409058393 774214643
1574799083 1705253349
146552616 412400745
2137444545 1067603956
1583936231 1624650010
2136893143 1573612516
689443790 492075497
475104174 479053344
1131426753 2019996658
1565121135 446905146
1969558903 2066993512
991112790 864306104
1470746047 1426228014
1737590741 485038327
1846736124 606956855
111060759 51130761
947715978 2106525112
194547040 1954392975
1880148978 1415225936
441163192 850765133
694499876 2076399183
650098438 334813803
1259370789 979953945
1770575597 231907278
937143154 1430434201
1748465432 618897410
1292341471 669484987
1476330 1329399089
1339761230 1951224049
363195142 739880696
1167356232 1965966914
2139783350 583957025
1320679249 219668680
2123074821 1019709715
1380316699 2041581563
1679082056 2039907409
1255064089 564225238
867259296 1934100863
297030186 1367888348
926834327 446616651
614211171 2103443044
115672440 1496443957
1996083968 1074149303
310913321 1718522113
342487429 1034053857
1175571687 1034053857
951389714 537582170
505223534 2132148490
157805918 1034053857
698665585 908111918
75113900 1841886069
785522748 1717838800
432510348 1034053857
1593320343 1934100863
980094358 504307610
1450976058 1034053857
1043396252 1718522113
938193110 1957255469
376470726 1835487478
256148513 1649808593
161679364 817817353
1347605824 1009857713
1874969963 1415225936
1643557044 1415225936
1054681166 1415225936
29817393 1367888348
109053637 2117871278
2024992235 1927993939
1638613672 1601380009
1766822705 1415225936
1344013445 1957255469
1910898836 1934100863
188394211 2117871278
345963918 599786965
728929291 1810599250
1227190564 908111918
2023312406 2101806114
1414112197 908111918
614361838 2117871278
1046087569 1496443957
564321656 2111168252
342631717 1496443957
156635536 1934100863
677082937 1718522113
655142494 1718522113
219799603 2103443044
1381584282 1496443957
1572788014 2102814873
1540923492 2117871278
359557846 986084489
1991405971 1415225936
1052782621 1516505249
912751240 1034053857
1150878831 1034053857
1021728050 1415225936
221504617 1718522113
839427710 949469817
1207610702 1496443957
1991273728 1157026795
1789619032 1009857713
1223614391 1363629053
358001543 1957255469
1506543253 831698804
853121322 1415225936
655117389 2133504017
2017040204 1009857713
516201205 379912809
827000686 1344199225
1139406039 1053107280
751059026 1804952637
1238607829 495579534
839305209 925684848
968821312 1934100863
1681097870 1034053857
432432749 1957255469
1728106772 1637216621
1423483736 2117871278
131520264 1120379997
493644710 2129412601
230578381 822257272
1108949814 2117871278
1530238795 1674614213
1573327233 1934100863
1985645651 791617444
391587820 2117871278
918447805 1363629053
379500732 1872171612
3658137 778596128
628992554 1009857713
51221034 161540665
959974315 617247967
834902980 908111918
1807185927 1966058313
1921230046 1508365991
1194437122 1415225936
1383351240 1302556871
704800369 2133504017
2081491666 2015271908
909284799 628077384
1188573836 1009857713
270035837 1705253349
386845897 1130702924
7995843 1030307103
1099525293 125856503
1317992612 1772442405
1409258245 1980825937
1127869831 469048515
456607660 1948735839
